Estacion;Fecha inicial;PM2.5
ZIPAQUIRÁ - EFZ;2024-01-05 07:00;23.86
ZIPAQUIRÁ - EFZ;2024-01-05 06:00;20.68
ZIPAQUIRÁ - EFZ;2024-01-05 05:00;14.18
ZIPAQUIRÁ - EFZ;2024-01-05 04:00;17.68
ZIPAQUIRÁ - EFZ;2024-01-05 03:00;10.86
ZIPAQUIRÁ - EFZ;2024-01-05 02:00;7.95
ZIPAQUIRÁ - EFZ;2024-01-05 01:00;7.14
ZIPAQUIRÁ - EFZ;2024-01-05 00:00;10.28
ZIPAQUIRÁ - EFZ;2024-01-04 23:00;15.77
ZIPAQUIRÁ - EFZ;2024-01-04 22:00;10.95
ZIPAQUIRÁ - EFZ;2024-01-04 21:00;9.91
ZIPAQUIRÁ - EFZ;2024-01-04 20:00;8.05
ZIPAQUIRÁ - EFZ;2024-01-04 19:00;8.86
ZIPAQUIRÁ - EFZ;2024-01-04 18:00;6.0
ZIPAQUIRÁ - EFZ;2024-01-04 17:00;6.0
ZIPAQUIRÁ - EFZ;2024-01-04 16:00;6.05
ZIPAQUIRÁ - EFZ;2024-01-04 15:00;6.91
ZIPAQUIRÁ - EFZ;2024-01-04 14:00;5.09
ZIPAQUIRÁ - EFZ;2024-01-04 13:00;7.0
ZIPAQUIRÁ - EFZ;2024-01-04 12:00;7.46
ZIPAQUIRÁ - EFZ;2024-01-04 11:00;17.6
ZIPAQUIRÁ - EFZ;2024-01-04 10:00;36.44
ZIPAQUIRÁ - EFZ;2024-01-04 08:00;22.04
ZIPAQUIRÁ - EFZ;2024-01-04 07:00;22.6
ZIPAQUIRÁ - EFZ;2024-01-04 06:00;12.96
ZIPAQUIRÁ - EFZ;2024-01-04 05:00;11.84
ZIPAQUIRÁ - EFZ;2024-01-04 04:00;7.96
ZIPAQUIRÁ - EFZ;2024-01-04 03:00;7.14
ZIPAQUIRÁ - EFZ;2024-01-04 02:00;11.04
ZIPAQUIRÁ - EFZ;2024-01-04 01:00;11.82
ZIPAQUIRÁ - EFZ;2024-01-04 00:00;7.04
ZIPAQUIRÁ - EFZ;2024-01-03 23:00;8.18
ZIPAQUIRÁ - EFZ;2024-01-03 22:00;12.86
ZIPAQUIRÁ - EFZ;2024-01-03 21:00;8.93
ZIPAQUIRÁ - EFZ;2024-01-03 20:00;7.12
ZIPAQUIRÁ - EFZ;2024-01-03 19:00;9.96
ZIPAQUIRÁ - EFZ;2024-01-03 18:00;8.96
ZIPAQUIRÁ - EFZ;2024-01-03 17:00;8.0
ZIPAQUIRÁ - EFZ;2024-01-03 16:00;8.11
ZIPAQUIRÁ - EFZ;2024-01-03 15:00;11.04
ZIPAQUIRÁ - EFZ;2024-01-03 14:00;11.86
ZIPAQUIRÁ - EFZ;2024-01-03 13:00;8.0
ZIPAQUIRÁ - EFZ;2024-01-03 12:00;8.14
ZIPAQUIRÁ - EFZ;2024-01-03 11:00;12.53
ZIPAQUIRÁ - EFZ;2024-01-03 10:00;27.35
ZIPAQUIRÁ - EFZ;2024-01-03 09:00;36.79
ZIPAQUIRÁ - EFZ;2024-01-03 08:00;31.21
ZIPAQUIRÁ - EFZ;2024-01-03 07:00;36.4
ZIPAQUIRÁ - EFZ;2024-01-03 06:00;19.68
ZIPAQUIRÁ - EFZ;2024-01-03 05:00;11.11
ZIPAQUIRÁ - EFZ;2024-01-03 04:00;13.89
ZIPAQUIRÁ - EFZ;2024-01-03 03:00;11.32
ZIPAQUIRÁ - EFZ;2024-01-03 02:00;19.79
ZIPAQUIRÁ - EFZ;2024-01-03 01:00;14.11
ZIPAQUIRÁ - EFZ;2024-01-03 00:00;17.04
ZIPAQUIRÁ - EFZ;2024-01-02 23:00;17.96
ZIPAQUIRÁ - EFZ;2024-01-02 22:00;16.72
ZIPAQUIRÁ - EFZ;2024-01-02 21:00;9.14
ZIPAQUIRÁ - EFZ;2024-01-02 20:00;12.79
ZIPAQUIRÁ - EFZ;2024-01-02 19:00;6.93
ZIPAQUIRÁ - EFZ;2024-01-02 18:00;4.89
ZIPAQUIRÁ - EFZ;2024-01-02 17:00;2.04
ZIPAQUIRÁ - EFZ;2024-01-02 16:00;3.0
ZIPAQUIRÁ - EFZ;2024-01-02 15:00;3.21
ZIPAQUIRÁ - EFZ;2024-01-02 14:00;9.14
ZIPAQUIRÁ - EFZ;2024-01-02 13:00;13.11
ZIPAQUIRÁ - EFZ;2024-01-02 12:00;19.04
ZIPAQUIRÁ - EFZ;2024-01-02 11:00;20.21
ZIPAQUIRÁ - EFZ;2024-01-02 10:00;25.68
ZIPAQUIRÁ - EFZ;2024-01-02 09:00;17.28
ZIPAQUIRÁ - EFZ;2024-01-02 08:00;24.96
ZIPAQUIRÁ - EFZ;2024-01-02 07:00;23.79
ZIPAQUIRÁ - EFZ;2024-01-02 06:00;17.72
ZIPAQUIRÁ - EFZ;2024-01-02 05:00;11.32
ZIPAQUIRÁ - EFZ;2024-01-02 04:00;18.4
ZIPAQUIRÁ - EFZ;2024-01-02 03:00;4.44
ZIPAQUIRÁ - EFZ;2024-01-02 02:00;14.88
ZIPAQUIRÁ - EFZ;2024-01-02 01:00;12.07
ZIPAQUIRÁ - EFZ;2024-01-02 00:00;14.04
ZIPAQUIRÁ - EFZ;2024-01-01 23:00;14.88
ZIPAQUIRÁ - EFZ;2024-01-01 22:00;12.36
ZIPAQUIRÁ - EFZ;2024-01-01 21:00;20.88
